Date : 2025-09-01 11:51:47
Directory : /home/omar/Documents/ruleIQ
Total : 2222 files,  904423 codes, 25590 comments, 90891 blanks, all 1020904 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |        173 |    391,842 |          0 |         57 |    391,899 |
| Python             |        775 |    189,756 |     15,967 |     42,276 |    247,999 |
| Markdown           |        540 |    117,286 |          0 |     30,248 |    147,534 |
| CSV                |          3 |     79,872 |          0 |          3 |     79,875 |
| TypeScript JSX     |        350 |     52,975 |      2,475 |      7,161 |     62,611 |
| TypeScript         |        243 |     42,085 |      5,317 |      7,479 |     54,881 |
| HTML               |          6 |     12,952 |         22 |        489 |     13,463 |
| Shell Script       |         44 |      6,875 |        760 |      1,297 |      8,932 |
| YAML               |         34 |      4,457 |        311 |        784 |      5,552 |
| JavaScript         |         23 |      3,365 |        380 |        599 |      4,344 |
| CSS                |          5 |        928 |        127 |        180 |      1,235 |
| XML                |          1 |        665 |          0 |         16 |        681 |
| Makefile           |          2 |        299 |         36 |         70 |        405 |
| NGINX Conf         |          3 |        265 |         47 |         58 |        370 |
| MS SQL             |          2 |        244 |         74 |         63 |        381 |
| Ini                |          3 |        180 |          0 |         28 |        208 |
| Ignore             |          3 |         95 |         32 |         30 |        157 |
| SVG                |          7 |         92 |          8 |         12 |        112 |
| JSON with Comments |          2 |         91 |          0 |          2 |         93 |
| pip requirements   |          1 |         50 |         15 |         15 |         80 |
| Docker             |          2 |         49 |         19 |         24 |         92 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                          | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                             |      2,222 |    904,423 |     25,590 |     90,891 |  1,020,904 |
| . (Files)                                                                                                     |         40 |      4,704 |        154 |      1,167 |      6,025 |
| .claude                                                                                                       |        165 |     36,342 |         69 |      7,253 |     43,664 |
| .claude (Files)                                                                                               |         14 |        734 |         67 |        111 |        912 |
| .claude/agents                                                                                                |         65 |      3,941 |          0 |      1,012 |      4,953 |
| .claude/commands                                                                                              |         86 |     31,667 |          2 |      6,130 |     37,799 |
| .cursor                                                                                                       |          1 |          3 |          0 |          0 |          3 |
| .final_plan_checklist_roadmap                                                                                 |          3 |      1,375 |          0 |      1,306 |      2,681 |
| .github                                                                                                       |         14 |      2,750 |        170 |        552 |      3,472 |
| .github (Files)                                                                                               |          1 |         49 |          3 |          2 |         54 |
| .github/workflows                                                                                             |         13 |      2,701 |        167 |        550 |      3,418 |
| .serena                                                                                                       |         58 |      4,791 |         32 |      1,142 |      5,965 |
| .serena (Files)                                                                                               |          2 |        205 |         32 |         42 |        279 |
| .serena/memories                                                                                              |         56 |      4,586 |          0 |      1,100 |      5,686 |
| alembic                                                                                                       |         14 |      2,234 |        168 |        232 |      2,634 |
| alembic (Files)                                                                                               |          1 |         50 |         14 |         24 |         88 |
| alembic/versions                                                                                              |         13 |      2,184 |        154 |        208 |      2,546 |
| api                                                                                                           |        154 |    332,857 |      1,780 |      4,861 |    339,498 |
| api (Files)                                                                                                   |         60 |    308,643 |         37 |        203 |    308,883 |
| api/background                                                                                                |          1 |        121 |         12 |         29 |        162 |
| api/clients                                                                                                   |          6 |      2,455 |        138 |        547 |      3,140 |
| api/dependencies                                                                                              |          6 |      1,362 |        112 |        357 |      1,831 |
| api/integrations                                                                                              |          6 |        452 |         24 |         99 |        575 |
| api/integrations (Files)                                                                                      |          4 |        333 |         21 |         69 |        423 |
| api/integrations/base                                                                                         |          2 |        119 |          3 |         30 |        152 |
| api/middleware                                                                                                |         12 |      2,044 |        244 |        512 |      2,800 |
| api/routers                                                                                                   |         47 |     15,165 |      1,139 |      2,336 |     18,640 |
| api/routers (Files)                                                                                           |         43 |     14,259 |      1,089 |      2,162 |     17,510 |
| api/routers/admin                                                                                             |          4 |        906 |         50 |        174 |      1,130 |
| api/schemas                                                                                                   |         11 |      1,743 |         39 |        537 |      2,319 |
| api/utils                                                                                                     |          5 |        872 |         35 |        241 |      1,148 |
| app                                                                                                           |         14 |      6,219 |        411 |      1,483 |      8,113 |
| app/api                                                                                                       |          1 |        145 |         11 |         44 |        200 |
| app/core                                                                                                      |         13 |      6,074 |        400 |      1,439 |      7,913 |
| app/core (Files)                                                                                              |          1 |        220 |         10 |         59 |        289 |
| app/core/monitoring                                                                                           |         12 |      5,854 |        390 |      1,380 |      7,624 |
| archive                                                                                                       |        195 |     58,286 |      1,075 |      8,212 |     67,573 |
| archive (Files)                                                                                               |          2 |        150 |          0 |         37 |        187 |
| archive/debugging_scripts                                                                                     |         24 |      1,859 |        177 |        490 |      2,526 |
| archive/documentation                                                                                         |         18 |      5,131 |          0 |      1,357 |      6,488 |
| archive/documentation-library                                                                                 |         56 |     13,284 |          0 |      3,400 |     16,684 |
| archive/documentation-library (Files)                                                                         |          1 |         92 |          0 |         30 |        122 |
| archive/documentation-library/01-core                                                                         |          3 |        613 |          0 |        218 |        831 |
| archive/documentation-library/02-technical                                                                    |          7 |      2,319 |          0 |        481 |      2,800 |
| archive/documentation-library/03-testing                                                                      |         10 |      1,889 |          0 |        538 |      2,427 |
| archive/documentation-library/04-context                                                                      |          7 |      1,336 |          0 |        310 |      1,646 |
| archive/documentation-library/05-historical                                                                   |         18 |      5,131 |          0 |      1,357 |      6,488 |
| archive/documentation-library/06-final-reports                                                                |         10 |      1,904 |          0 |        466 |      2,370 |
| archive/documentation_additional                                                                              |         21 |      3,047 |          0 |        931 |      3,978 |
| archive/json                                                                                                  |         13 |     25,691 |          0 |          1 |     25,692 |
| archive/migration_scripts                                                                                     |          9 |      1,999 |        128 |        448 |      2,575 |
| archive/scripts                                                                                               |         22 |      1,771 |        183 |        368 |      2,322 |
| archive/temporary_files                                                                                       |         13 |      1,529 |        119 |        298 |      1,946 |
| archive/test_artifacts                                                                                        |          2 |        430 |          0 |          0 |        430 |
| archive/test_configs                                                                                          |          8 |      2,316 |        355 |        585 |      3,256 |
| archive/test_scripts_additional                                                                               |          7 |      1,079 |        113 |        297 |      1,489 |
| backups                                                                                                       |          6 |      2,173 |          0 |          7 |      2,180 |
| backups (Files)                                                                                               |          1 |         18 |          0 |          7 |         25 |
| backups/neo4j_20250826_043358                                                                                 |          1 |        623 |          0 |          0 |        623 |
| backups/neo4j_20250826_043712                                                                                 |          1 |        623 |          0 |          0 |        623 |
| backups/neo4j_20250826_043753                                                                                 |          1 |        623 |          0 |          0 |        623 |
| backups/neon_20250826_043753                                                                                  |          2 |        286 |          0 |          0 |        286 |
| config                                                                                                        |         26 |      5,429 |        526 |      1,228 |      7,183 |
| config (Files)                                                                                                |         21 |      4,814 |        444 |      1,119 |      6,377 |
| config/nginx                                                                                                  |          1 |        165 |         25 |         34 |        224 |
| config/nginx/conf.d                                                                                           |          1 |        165 |         25 |         34 |        224 |
| config/prometheus                                                                                             |          2 |        215 |         26 |         27 |        268 |
| config/rate-limiting                                                                                          |          1 |        191 |         16 |         35 |        242 |
| config/redis                                                                                                  |          1 |         44 |         15 |         13 |         72 |
| core                                                                                                          |         10 |        358 |         27 |        163 |        548 |
| core (Files)                                                                                                  |          9 |         86 |          5 |         67 |        158 |
| core/security                                                                                                 |          1 |        272 |         22 |         96 |        390 |
| data                                                                                                          |         61 |    139,616 |          0 |         45 |    139,661 |
| data (Files)                                                                                                  |          4 |      1,864 |          0 |         16 |      1,880 |
| data/enforcement                                                                                              |          1 |        588 |          0 |          0 |        588 |
| data/iso_metadata                                                                                             |          3 |     79,872 |          0 |          3 |     79,875 |
| data/manifests                                                                                                |         17 |     44,726 |          0 |         26 |     44,752 |
| data/regulation_cache                                                                                         |         36 |     12,566 |          0 |          0 |     12,566 |
| database                                                                                                      |         38 |      3,699 |        323 |        957 |      4,979 |
| database (Files)                                                                                              |         29 |      2,839 |        255 |        732 |      3,826 |
| database/migrations                                                                                           |          3 |        130 |         29 |         63 |        222 |
| database/models                                                                                               |          4 |        229 |         13 |         48 |        290 |
| database/services                                                                                             |          2 |        501 |         26 |        114 |        641 |
| docs                                                                                                          |        131 |     36,313 |         27 |      9,433 |     45,773 |
| docs (Files)                                                                                                  |         93 |     27,338 |          0 |      7,213 |     34,551 |
| docs/api                                                                                                      |          4 |      1,227 |          0 |        269 |      1,496 |
| docs/backup                                                                                                   |          4 |        750 |          0 |        181 |        931 |
| docs/backup/prd_documents                                                                                     |          4 |        750 |          0 |        181 |        931 |
| docs/compliance                                                                                               |          1 |        282 |          0 |         65 |        347 |
| docs/developer                                                                                                |          9 |      2,458 |          0 |        673 |      3,131 |
| docs/features                                                                                                 |          1 |          0 |          0 |          1 |          1 |
| docs/frontend                                                                                                 |          2 |          0 |          0 |          2 |          2 |
| docs/frontend-light-touch                                                                                     |          9 |      1,958 |         27 |        387 |      2,372 |
| docs/iso27001-templates                                                                                       |          1 |         34 |          0 |         13 |         47 |
| docs/technical                                                                                                |          5 |      1,521 |          0 |        441 |      1,962 |
| docs/user-guides                                                                                              |          2 |        745 |          0 |        188 |        933 |
| frontend                                                                                                      |        712 |    113,451 |      8,232 |     19,526 |    141,209 |
| frontend (Files)                                                                                              |         63 |      8,289 |        257 |      2,086 |     10,632 |
| frontend/.claude                                                                                              |          1 |         27 |          0 |          1 |         28 |
| frontend/.github                                                                                              |          4 |        311 |          2 |         76 |        389 |
| frontend/.github/workflows                                                                                    |          4 |        311 |          2 |         76 |        389 |
| frontend/.serena                                                                                              |         11 |      1,130 |         55 |        351 |      1,536 |
| frontend/.serena (Files)                                                                                      |          1 |          7 |         55 |          7 |         69 |
| frontend/.serena/memories                                                                                     |         10 |      1,123 |          0 |        344 |      1,467 |
| frontend/.storybook                                                                                           |          3 |        133 |          7 |          9 |        149 |
| frontend/.well-known                                                                                          |          1 |          6 |          0 |          0 |          6 |
| frontend/.well-known/appspecific                                                                              |          1 |          6 |          0 |          0 |          6 |
| frontend/__tests__                                                                                            |          1 |        145 |         10 |         21 |        176 |
| frontend/app                                                                                                  |         65 |     11,190 |        593 |      1,116 |     12,899 |
| frontend/app (Files)                                                                                          |          8 |      1,299 |         92 |        164 |      1,555 |
| frontend/app/(auth)                                                                                           |          5 |      1,692 |         64 |        165 |      1,921 |
| frontend/app/(auth)/forgot-password                                                                           |          1 |        155 |          0 |          9 |        164 |
| frontend/app/(auth)/login                                                                                     |          1 |         88 |          1 |          5 |         94 |
| frontend/app/(auth)/register                                                                                  |          1 |        122 |          1 |          8 |        131 |
| frontend/app/(auth)/signup                                                                                    |          1 |      1,082 |         56 |        117 |      1,255 |
| frontend/app/(auth)/signup-traditional                                                                        |          1 |        245 |          6 |         26 |        277 |
| frontend/app/(dashboard)                                                                                      |         27 |      4,788 |        195 |        427 |      5,410 |
| frontend/app/(dashboard) (Files)                                                                              |          1 |         53 |          0 |          7 |         60 |
| frontend/app/(dashboard)/analytics                                                                            |          1 |        425 |         15 |         22 |        462 |
| frontend/app/(dashboard)/assessments                                                                          |          4 |        667 |         25 |         53 |        745 |
| frontend/app/(dashboard)/assessments (Files)                                                                  |          1 |        152 |          6 |         14 |        172 |
| frontend/app/(dashboard)/assessments/[id]                                                                     |          2 |        309 |         14 |         24 |        347 |
| frontend/app/(dashboard)/assessments/[id] (Files)                                                             |          1 |        207 |          9 |         16 |        232 |
| frontend/app/(dashboard)/assessments/[id]/results                                                             |          1 |        102 |          5 |          8 |        115 |
| frontend/app/(dashboard)/assessments/new                                                                      |          1 |        206 |          5 |         15 |        226 |
| frontend/app/(dashboard)/business-profile                                                                     |          1 |          9 |          0 |          3 |         12 |
| frontend/app/(dashboard)/chat                                                                                 |          1 |        142 |          3 |         15 |        160 |
| frontend/app/(dashboard)/checkout                                                                             |          1 |        129 |         10 |         15 |        154 |
| frontend/app/(dashboard)/compliance-wizard                                                                    |          1 |        657 |         31 |         60 |        748 |
| frontend/app/(dashboard)/components                                                                           |          1 |         20 |          0 |          4 |         24 |
| frontend/app/(dashboard)/dashboard                                                                            |          2 |        633 |         36 |         62 |        731 |
| frontend/app/(dashboard)/dashboard-custom                                                                     |          1 |        208 |         10 |         12 |        230 |
| frontend/app/(dashboard)/data-export-demo                                                                     |          1 |        289 |         13 |         16 |        318 |
| frontend/app/(dashboard)/evidence                                                                             |          1 |        312 |          9 |         16 |        337 |
| frontend/app/(dashboard)/forms                                                                                |          1 |         18 |          0 |          4 |         22 |
| frontend/app/(dashboard)/loading-states                                                                       |          1 |         20 |          0 |          4 |         24 |
| frontend/app/(dashboard)/modals                                                                               |          1 |         20 |          0 |          4 |         24 |
| frontend/app/(dashboard)/policies                                                                             |          2 |        422 |         14 |         39 |        475 |
| frontend/app/(dashboard)/policies (Files)                                                                     |          1 |        196 |          6 |         18 |        220 |
| frontend/app/(dashboard)/policies/new                                                                         |          1 |        226 |          8 |         21 |        255 |
| frontend/app/(dashboard)/pricing                                                                              |          1 |        124 |         12 |         24 |        160 |
| frontend/app/(dashboard)/reports                                                                              |          1 |        195 |          7 |         18 |        220 |
| frontend/app/(dashboard)/settings                                                                             |          3 |        411 |         10 |         43 |        464 |
| frontend/app/(dashboard)/settings/billing                                                                     |          1 |        277 |         10 |         28 |        315 |
| frontend/app/(dashboard)/settings/integrations                                                                |          1 |         95 |          0 |          9 |        104 |
| frontend/app/(dashboard)/settings/team                                                                        |          1 |         39 |          0 |          6 |         45 |
| frontend/app/(dashboard)/test-quick-actions                                                                   |          1 |         34 |          0 |          6 |         40 |
| frontend/app/(public)                                                                                         |          7 |        712 |         38 |         56 |        806 |
| frontend/app/(public) (Files)                                                                                 |          1 |          4 |          0 |          2 |          6 |
| frontend/app/(public)/assets                                                                                  |          2 |         41 |          4 |          6 |         51 |
| frontend/app/(public)/freemium                                                                                |          4 |        667 |         34 |         48 |        749 |
| frontend/app/(public)/freemium (Files)                                                                        |          2 |        344 |         10 |         17 |        371 |
| frontend/app/(public)/freemium/assessment                                                                     |          1 |        127 |          8 |         14 |        149 |
| frontend/app/(public)/freemium/results                                                                        |          1 |        196 |         16 |         17 |        229 |
| frontend/app/api                                                                                              |          3 |         33 |          9 |         12 |         54 |
| frontend/app/api/csp-report                                                                                   |          1 |          0 |          0 |          1 |          1 |
| frontend/app/api/csrf-token                                                                                   |          1 |         24 |          9 |          8 |         41 |
| frontend/app/api/health                                                                                       |          1 |          9 |          0 |          3 |         12 |
| frontend/app/assessment                                                                                       |          2 |        518 |         21 |         41 |        580 |
| frontend/app/assessment (Files)                                                                               |          1 |        200 |          9 |         16 |        225 |
| frontend/app/assessment/results                                                                               |          1 |        318 |         12 |         25 |        355 |
| frontend/app/assessment/results/[token]                                                                       |          1 |        318 |         12 |         25 |        355 |
| frontend/app/auth                                                                                             |          2 |         72 |          2 |         14 |         88 |
| frontend/app/auth (Files)                                                                                     |          1 |          5 |          0 |          3 |          8 |
| frontend/app/auth/callback                                                                                    |          1 |         67 |          2 |         11 |         80 |
| frontend/app/demo                                                                                             |          3 |        361 |         29 |         61 |        451 |
| frontend/app/demo/error-boundary                                                                              |          1 |        101 |          7 |         16 |        124 |
| frontend/app/demo/file-upload                                                                                 |          1 |         67 |         15 |         15 |         97 |
| frontend/app/demo/loading-states                                                                              |          1 |        193 |          7 |         30 |        230 |
| frontend/app/design-system                                                                                    |          1 |        210 |         14 |         19 |        243 |
| frontend/app/editor                                                                                           |          1 |         40 |          0 |          5 |         45 |
| frontend/app/marketing                                                                                        |          1 |        495 |         11 |         24 |        530 |
| frontend/app/monitoring                                                                                       |          2 |        169 |         19 |         26 |        214 |
| frontend/app/monitoring/sentry                                                                                |          1 |         42 |         12 |         10 |         64 |
| frontend/app/monitoring/test-error                                                                            |          1 |        127 |          7 |         16 |        150 |
| frontend/app/showcase                                                                                         |          1 |        411 |         11 |         29 |        451 |
| frontend/app/showcase/components                                                                              |          1 |        411 |         11 |         29 |        451 |
| frontend/app/styles                                                                                           |          1 |        320 |         84 |         66 |        470 |
| frontend/app/test-theme                                                                                       |          1 |         70 |          4 |          7 |         81 |
| frontend/components                                                                                           |        242 |     26,121 |        741 |      2,747 |     29,609 |
| frontend/components (Files)                                                                                   |         11 |      1,089 |         37 |        136 |      1,262 |
| frontend/components/assessments                                                                               |         30 |      3,922 |        120 |        405 |      4,447 |
| frontend/components/assessments (Files)                                                                       |         24 |      3,640 |        117 |        374 |      4,131 |
| frontend/components/assessments/questionnaire                                                                 |          2 |        110 |          1 |         12 |        123 |
| frontend/components/assessments/results                                                                       |          4 |        172 |          2 |         19 |        193 |
| frontend/components/auth                                                                                      |          5 |        262 |          1 |         40 |        303 |
| frontend/components/chat                                                                                      |          6 |        753 |         35 |         67 |        855 |
| frontend/components/dashboard                                                                                 |         33 |      4,211 |        150 |        366 |      4,727 |
| frontend/components/dashboard (Files)                                                                         |         17 |      2,653 |        119 |        221 |      2,993 |
| frontend/components/dashboard/charts                                                                          |          9 |        808 |         20 |         80 |        908 |
| frontend/components/dashboard/quick-actions                                                                   |          3 |        363 |         11 |         29 |        403 |
| frontend/components/dashboard/widgets                                                                         |          4 |        387 |          0 |         36 |        423 |
| frontend/components/dialogs                                                                                   |          3 |        284 |          7 |         25 |        316 |
| frontend/components/editor                                                                                    |          4 |        380 |          0 |         40 |        420 |
| frontend/components/evidence                                                                                  |         10 |        928 |          6 |         86 |      1,020 |
| frontend/components/evidence (Files)                                                                          |          8 |        705 |          4 |         64 |        773 |
| frontend/components/evidence/upload                                                                           |          2 |        223 |          2 |         22 |        247 |
| frontend/components/features                                                                                  |          8 |        885 |         36 |         84 |      1,005 |
| frontend/components/features (Files)                                                                          |          1 |          5 |          1 |          1 |          7 |
| frontend/components/features/assessments                                                                      |          1 |          1 |          2 |          1 |          4 |
| frontend/components/features/business-profile                                                                 |          3 |        876 |         27 |         79 |        982 |
| frontend/components/features/chat                                                                             |          1 |          1 |          2 |          1 |          4 |
| frontend/components/features/evidence                                                                         |          1 |          1 |          2 |          1 |          4 |
| frontend/components/features/policies                                                                         |          1 |          1 |          2 |          1 |          4 |
| frontend/components/forms                                                                                     |          1 |        395 |         13 |         34 |        442 |
| frontend/components/freemium                                                                                  |          4 |        985 |         57 |         97 |      1,139 |
| frontend/components/integrations                                                                              |          3 |        253 |          0 |         22 |        275 |
| frontend/components/layouts                                                                                   |          1 |         35 |          3 |          7 |         45 |
| frontend/components/loading                                                                                   |          4 |        512 |         25 |         45 |        582 |
| frontend/components/magicui                                                                                   |          4 |        407 |         14 |         46 |        467 |
| frontend/components/marketing                                                                                 |          3 |        484 |         11 |         40 |        535 |
| frontend/components/navigation                                                                                |          6 |        965 |         21 |         58 |      1,044 |
| frontend/components/payment                                                                                   |          2 |        376 |         15 |         50 |        441 |
| frontend/components/policies                                                                                  |          2 |        118 |          0 |         13 |        131 |
| frontend/components/policies/wizard                                                                           |          2 |        118 |          0 |         13 |        131 |
| frontend/components/sections                                                                                  |          1 |        126 |         10 |         13 |        149 |
| frontend/components/security                                                                                  |          1 |         84 |         11 |         17 |        112 |
| frontend/components/shared                                                                                    |          4 |        619 |         17 |         60 |        696 |
| frontend/components/team                                                                                      |          5 |        418 |          1 |         25 |        444 |
| frontend/components/ui                                                                                        |         91 |      7,630 |        151 |        971 |      8,752 |
| frontend/components/ui (Files)                                                                                |         90 |      7,537 |        149 |        962 |      8,648 |
| frontend/components/ui/skeletons                                                                              |          1 |         93 |          2 |          9 |        104 |
| frontend/config                                                                                               |          2 |          2 |          2 |          2 |          6 |
| frontend/docs                                                                                                 |         14 |      3,581 |          0 |      1,116 |      4,697 |
| frontend/docs (Files)                                                                                         |          1 |         37 |          0 |         18 |         55 |
| frontend/docs/design                                                                                          |          4 |      1,372 |          0 |        363 |      1,735 |
| frontend/docs/frontend-migration                                                                              |          9 |      2,172 |          0 |        735 |      2,907 |
| frontend/hooks                                                                                                |          5 |        382 |          7 |         77 |        466 |
| frontend/lib                                                                                                  |        109 |     19,423 |      2,623 |      2,937 |     24,983 |
| frontend/lib (Files)                                                                                          |          7 |        601 |        102 |         97 |        800 |
| frontend/lib/animations                                                                                       |          4 |        629 |         54 |         83 |        766 |
| frontend/lib/api                                                                                              |         25 |      5,228 |        978 |        758 |      6,964 |
| frontend/lib/api (Files)                                                                                      |         24 |      5,058 |        887 |        716 |      6,661 |
| frontend/lib/api/business-profile                                                                             |          1 |        170 |         91 |         42 |        303 |
| frontend/lib/assessment-engine                                                                                |          5 |      1,535 |        163 |        264 |      1,962 |
| frontend/lib/data                                                                                             |         10 |        969 |          6 |         48 |      1,023 |
| frontend/lib/hooks                                                                                            |          4 |        480 |         38 |         82 |        600 |
